Area_territoriale,Regione,Prov,Comune_ISTAT,Comune_cat,Sez,Comune_amm,Comune_descrizione,Fascia,Zona,LinkZona,Cod_Tip,Descr_Tipologia,Stato,Stato_prev,Compr_min,Compr_max,Sup_NL_compr,semester
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B19,MI00004769,20,Abitazioni civili,NORMALE,P,6000,8600,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B19,MI00004769,20,Abitazioni civili,OTTIMO, ,8700,11000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B19,MI00004769,19,Abitazioni signorili,OTTIMO,P,11600,15000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B19,MI00004769,19,Abitazioni signorili,NORMALE, ,9000,11500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B19,MI00004769,13,Box,NORMALE,P,2800,4500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B19,MI00004769,9,Magazzini,NORMALE,P,950,1450,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B19,MI00004769,5,Negozi,OTTIMO,P,6300,8500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B19,MI00004769,5,Negozi,NORMALE, ,3700,6200,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B19,MI00004769,6,Uffici,OTTIMO,P,4800,7700,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B19,MI00004769,18,Uffici strutturati,OTTIMO,P,5300,9000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B19,MI00004769,10,Laboratori,NORMALE,P,1300,2050,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B20,MI00004770,20,Abitazioni civili,NORMALE,P,5200,7300,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B20,MI00004770,20,Abitazioni civili,OTTIMO, ,7400,9700,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B20,MI00004770,13,Box,NORMALE,P,2850,4000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B20,MI00004770,9,Magazzini,NORMALE,P,1000,1300,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B20,MI00004770,5,Negozi,NORMALE,P,3500,4900,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B20,MI00004770,5,Negozi,OTTIMO, ,5000,8000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B20,MI00004770,6,Uffici,OTTIMO,P,3300,5500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B20,MI00004770,18,Uffici strutturati,OTTIMO,P,3700,5700,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B20,MI00004770,10,Laboratori,NORMALE,P,1100,1800,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B21,MI00004771,20,Abitazioni civili,NORMALE,P,4900,7000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B21,MI00004771,20,Abitazioni civili,OTTIMO, ,7100,9000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B21,MI00004771,13,Box,NORMALE,P,2300,3600,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B21,MI00004771,9,Magazzini,NORMALE,P,650,1000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B21,MI00004771,5,Negozi,NORMALE,P,3300,4600,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B21,MI00004771,5,Negozi,OTTIMO, ,4700,7000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B21,MI00004771,6,Uffici,OTTIMO,P,3200,5000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B21,MI00004771,18,Uffici strutturati,OTTIMO,P,3500,5500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B21,MI00004771,10,Laboratori,NORMALE,P,1150,1700,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C12,MI00000307,20,Abitazioni civili,OTTIMO, ,7200,9500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C12,MI00000307,20,Abitazioni civili,NORMALE,P,5200,7100,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C12,MI00000307,13,Box,NORMALE,P,2700,4000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C12,MI00000307,9,Magazzini,NORMALE,P,700,1000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C12,MI00000307,5,Negozi,NORMALE, ,3800,5500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C12,MI00000307,5,Negozi,OTTIMO,P,5600,9000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C12,MI00000307,6,Uffici,OTTIMO,P,4500,6000,L,2024-2
